________,City,Province,Country,StationId,Latitude,Longitude,Time Zone,Elevation,Filename
CWEEDS2011,ABEE AGDM,AB,CAN,3010010,54.28,-112.97,-7.00,664.0                                                           ,CAN_AB_ABEE-AGDM_3010010_CWEEDS2011_T_N
CWEEDS2011,ANDREW AGDM,AB,CAN,3010237,53.92,-112.28,-7.00,625.0                                                         ,CAN_AB_ANDREW-AGDM_3010237_CWEEDS2011_T_N
CWEEDS2011,ATMORE AGDM,AB,CAN,3060406,54.78,-112.82,-7.00,574.0                                                         ,CAN_AB_ATMORE-AGDM_3060406_CWEEDS2011_T_N
CWEEDS2011,BANFF CS,AB,CAN,3050519,51.19,-115.55,-7.00,1396.9                                                           ,CAN_AB_BANFF-CS_3050519_CWEEDS2011_T_N
CWEEDS2011,BARNWELL AGDM,AB,CAN,3030525,49.80,-112.30,-7.00,824.2                                                       ,CAN_AB_BARNWELL-AGDM_3030525_CWEEDS2011_T_N
CWEEDS2011,BARRHEAD CS,AB,CAN,3060535,54.09,-114.45,-7.00,648.0                                                         ,CAN_AB_BARRHEAD-CS_3060535_CWEEDS2011_T_N
CWEEDS2011,BEAVERLODGE RCS,AB,CAN,3070600,55.20,-119.40,-7.00,745.0                                                     ,CAN_AB_BEAVERLODGE-RCS_3070600_CWEEDS2011_T_N
CWEEDS2011,BLOOD TRIBE AGDM,AB,CAN,3030720,49.57,-113.05,-7.00,980.0                                                    ,CAN_AB_BLOOD-TRIBE-AGDM_3030720_CWEEDS2011_T_N
CWEEDS2011,BODO AGDM,AB,CAN,3010730,52.12,-110.10,-7.00,687.0                                                           ,CAN_AB_BODO-AGDM_3010730_CWEEDS2011_T_N
CWEEDS2011,BOW ISLAND IRRIGATION AGDM,AB,CAN,3030772,49.87,-111.38,-7.00,799.0                                          ,CAN_AB_BOW-ISLAND-IRRIGATION-AGDM_3030772_CWEEDS2011_T_N
CWEEDS2011,BOW ISLAND,AB,CAN,3030768,49.73,-111.45,-7.00,816.6                                                          ,CAN_AB_BOW-ISLAND_3030768_CWEEDS2011_T_N
CWEEDS2011,BOW VALLEY,AB,CAN,3050778,51.08,-115.07,-7.00,1297.5                                                         ,CAN_AB_BOW-VALLEY_3050778_CWEEDS2011_T_N
CWEEDS2011,BRETON PLOTS,AB,CAN,3010816,53.09,-114.44,-7.00,851.5                                                        ,CAN_AB_BRETON-PLOTS_3010816_CWEEDS2011_T_N
CWEEDS2011,BROCKET AGDM,AB,CAN,3030830,49.62,-113.82,-7.00,1072.7                                                       ,CAN_AB_BROCKET-AGDM_3030830_CWEEDS2011_T_N
CWEEDS2011,BROOKS,AB,CAN,3030QLP,50.56,-111.85,-7.00,747.0                                                              ,CAN_AB_BROOKS_3030QLP_CWEEDS2011_T_N
CWEEDS2011,CALGARY INTL A,AB,CAN,3031092,51.11,-114.02,-7.00,1084.1                                                     ,CAN_AB_CALGARY-INTL-A_3031092_CWEEDS2011_T_N
CWEEDS2011,CAMROSE,AB,CAN,3011240,53.03,-112.81,-7.00,739.0                                                             ,CAN_AB_CAMROSE_3011240_CWEEDS2011_T_N
CWEEDS2011,CARDSTON,AB,CAN,3031322,49.20,-113.29,-7.00,1136.0                                                           ,CAN_AB_CARDSTON_3031322_CWEEDS2011_T_N
CWEEDS2011,CHAMPION AGDM,AB,CAN,3031480,50.28,-113.35,-7.00,1006.0                                                      ,CAN_AB_CHAMPION-AGDM_3031480_CWEEDS2011_T_N
CWEEDS2011,CLARESHOLM,AB,CAN,3031640,50.00,-113.64,-7.00,1009.0                                                         ,CAN_AB_CLARESHOLM_3031640_CWEEDS2011_T_N
CWEEDS2011,CLEARDALE AGDM,AB,CAN,3074935,56.31,-119.74,-7.00,630.0                                                      ,CAN_AB_CLEARDALE-AGDM_3074935_CWEEDS2011_T_N
CWEEDS2011,COLD LAKE A,AB,CAN,3081680,54.42,-110.23,-7.00,541.0                                                         ,CAN_AB_COLD-LAKE-A_3081680_CWEEDS2011_T_N
CWEEDS2011,CONSORT AGDM,AB,CAN,3011815,51.94,-110.71,-7.00,772.0                                                        ,CAN_AB_CONSORT-AGDM_3011815_CWEEDS2011_T_N
CWEEDS2011,COP UPPER,AB,CAN,3031875,51.08,-114.22,-7.00,1235.0                                                          ,CAN_AB_COP-UPPER_3031875_CWEEDS2011_T_N
CWEEDS2011,CORONATION CLIMATE,AB,CAN,3011887,52.07,-111.45,-7.00,791.1                                                  ,CAN_AB_CORONATION-CLIMATE_3011887_CWEEDS2011_T_N
CWEEDS2011,CROWSNEST,AB,CAN,3051R4R,49.63,-114.48,-7.00,1303.0                                                          ,CAN_AB_CROWSNEST_3051R4R_CWEEDS2011_T_N
CWEEDS2011,DAPP AGDM,AB,CAN,3061975,54.32,-113.95,-7.00,614.2                                                           ,CAN_AB_DAPP-AGDM_3061975_CWEEDS2011_T_N
CWEEDS2011,DEL BONITA AGDM,AB,CAN,3042045,49.05,-112.82,-7.00,1310.0                                                    ,CAN_AB_DEL-BONITA-AGDM_3042045_CWEEDS2011_T_N
CWEEDS2011,DRUMHELLER EAST,AB,CAN,30221LG,51.45,-112.68,-7.00,678.2                                                     ,CAN_AB_DRUMHELLER-EAST_30221LG_CWEEDS2011_T_N
CWEEDS2011,EDMONTON CITY CENTRE AWOS,AB,CAN,3012202,53.57,-113.52,-7.00,671.4                                           ,CAN_AB_EDMONTON-CITY-CENTRE-AWOS_3012202_CWEEDS2011_T_N
CWEEDS2011,EDMONTON INTL A,AB,CAN,3012216,53.31,-113.58,-7.00,723.3                                                     ,CAN_AB_EDMONTON-INTL-A_3012216_CWEEDS2011_T_N
CWEEDS2011,EDMONTON STONY PLAIN CS,AB,CAN,301A001,53.55,-114.11,-7.00,766.3                                             ,CAN_AB_EDMONTON-STONY-PLAIN-CS_301A001_CWEEDS2011_T_N
CWEEDS2011,EDSON CLIMATE,AB,CAN,3062246,53.58,-116.45,-7.00,927.0                                                       ,CAN_AB_EDSON-CLIMATE_3062246_CWEEDS2011_T_N
CWEEDS2011,ELK ISLAND NAT PARK,AB,CAN,3012275,53.68,-112.87,-7.00,716.2                                                 ,CAN_AB_ELK-ISLAND-NAT-PARK_3012275_CWEEDS2011_T_N
CWEEDS2011,ENCHANT AGDM,AB,CAN,3032422,50.18,-112.43,-7.00,801.0                                                        ,CAN_AB_ENCHANT-AGDM_3032422_CWEEDS2011_T_N
CWEEDS2011,ESTHER 1,AB,CAN,301B460,51.67,-110.21,-7.00,707.0                                                            ,CAN_AB_ESTHER-1_301B460_CWEEDS2011_T_N
CWEEDS2011,FAIRVIEW AGDM,AB,CAN,3072525,56.08,-118.44,-7.00,654.6                                                       ,CAN_AB_FAIRVIEW-AGDM_3072525_CWEEDS2011_T_N
CWEEDS2011,FINCASTLE AGDM,AB,CAN,3032550,49.60,-112.03,-7.00,833.0                                                      ,CAN_AB_FINCASTLE-AGDM_3032550_CWEEDS2011_T_N
CWEEDS2011,FOREMOST AGDM,AB,CAN,3032642,49.48,-111.49,-7.00,881.0                                                       ,CAN_AB_FOREMOST-AGDM_3032642_CWEEDS2011_T_N
CWEEDS2011,FORT MCMURRAY A,AB,CAN,3062697,56.65,-111.22,-7.00,369.1                                                     ,CAN_AB_FORT-MCMURRAY-A_3062697_CWEEDS2011_T_N
CWEEDS2011,GRANDE PRAIRIE A,AB,CAN,3072921,55.18,-118.88,-7.00,669.0                                                    ,CAN_AB_GRANDE-PRAIRIE-A_3072921_CWEEDS2011_T_N
CWEEDS2011,HENDRICKSON CREEK,AB,CAN,3063135,53.80,-118.45,-7.00,1448.0                                                  ,CAN_AB_HENDRICKSON-CREEK_3063135_CWEEDS2011_T_N
CWEEDS2011,HIGH LEVEL A,AB,CAN,3073146,58.62,-117.16,-7.00,338.0                                                        ,CAN_AB_HIGH-LEVEL-A_3073146_CWEEDS2011_T_N
CWEEDS2011,HIGH PRAIRIE AGDM,AB,CAN,3063165,55.40,-116.48,-7.00,601.7                                                   ,CAN_AB_HIGH-PRAIRIE-AGDM_3063165_CWEEDS2011_T_N
