Name	Latitude	Longitude	Elevation
ABBOTSFORD_BC_CA	49:01:31:N	122:21:36:W	59.10m
ALERT_NU_CA	82:31:04:N	62:16:50:W	30.50m
ARMSTRONG_ON_CA	50:28:00:N	119:08:00:W	373.00m
ATIKOKAN_ON_CA	48:45:00:N	91:37:00:W	395.30m
BAGOTVILLE_QC_CA	48:20:00:N	71:00:00:W	159.10m
BAIE_COMEAU_QC_CA	49:08:00:N	68:12:00:W	21.60m
BAKER_LAKE_NU_CA	64:17:56:N	96:04:40:W	18.60m
BANFF_AB_CA	51:11:00:N	115:34:00:W	1,383.70m
BARRIE_ON_CA	44:22:33:N	79:41:23:W	221.00m
BIG_TROUT_LAKE_ON_CA	53:50:00:N	89:52:00:W	224.10m
BISSETT_MB_CA	51:02:00:N	95:42:00:W	259.00m
BLANC_SABLON_QC_CA	51:27:00:N	57:11:00:W	37.20m
BLUE_RIVER_BC_CA	52:07:44:N	119:17:22:W	690.40m
BONAVISTA_NL_CA	48:40:02:N	53:06:51:W	25.60m
BRANDON_MB_CA	49:54:36:N	99:57:07:W	409.40m
BROADVIEW_SK_CA	50:22:05:N	102:34:15:W	599.80m
BUFFALO_NARROWS_SK_CA	55:50:00:N	108:26:00:W	433.70m
BURGEO_NL_CA	47:37:00:N	57:37:00:W	10.60m
BURWASH_YT_CA	61:22:00:N	139:03:00:W	806.20m
CALGARY_INTL_AB_CA	51:06:50:N	114:01:13:W	1084.10m
CAMBRIDGE_BAY_NU_CA	69:06:29:N	105:08:18:W	31.10m
CAPE_DORSET_NU_CA	64:13:49:N	76:31:30:W	48.20m
CAPE_DYER_NU_CA	66:35:00:N	61:37:00:W	392.60m
CAPE_HOOPER_NU_CA	68:28:21:N	66:48:55:W	390.10m
CAPE_PARRY_NT_CA	70:10:00:N	124:43:00:W	86.60m
CAPE_ST_JAMES_BC_CA	51:56:00:N	131:01:00:W	92.00m
CARTWRIGHT_NL_CA	53:42:30:N	57:02:06:W	14.30m
CASTLEGAR_BC_CA	49:17:47:N	117:37:57:W	495.60m
CHARLOTTETOWN_PE_CA	46:17:19:N	63:07:43:W	48.80m
CHURCHILL_FALLS_NL_CA	53:33:00:N	64:06:00:W	439.50m
CHURCHILL_MB_CA	58:44:21:N	94:03:59:W	29.30m
CLINTON_POINT_NU_CA	69:35:00:N	120:48:00:W	100.60m
CLYDE_NU_CA	70:29:10:N	68:31:00:W	26.50m
COBOURG_ON_CA	43:58:00:N	78:11:00:W	79.20m
COLD_LAKE_AB_CA	54:25:00:N	110:17:00:W	541.00m
COLLINS_BAY_SK_CA	58:11:00:N	103:42:00:W	491.90m
COMOX_BC_CA	49:43:00:N	124:54:00:W	25.60m
CORAL_HARBOUR_NU_CA	64:11:36:N	83:21:34:W	62.20m
CORONATION_AB_CA	52:04:00:N	111:27:00:W	791.00m
CRANBROOK_BC_CA	49:36:44:N	115:46:55:W	940.00m
CREE_LAKE_SK_CA	57:21:00:N	107:08:00:W	494.60m
DANIELS_HARBOUR_NL_CA	50:14:11:N	57:34:52:W	19.00m
DAUPHIN_MB_CA	51:06:00:N	100:03:00:W	304.50m
DAWSON_YT_CA	64:02:35:N	139:07:40:W	370.30m
DEASE_LAKE_BC_CA	58:25:42:N	130:00:38:W	806.60m
DEER_LAKE_NL_CA	49:13:00:N	57:24:00:W	21.90m
DEWAR_LAKES_NU_CA	68:39:00:N	71:10:00:W	526.70m
EARLTON_ON_CA	47:42:00:N	79:51:00:W	243.20m
EDMONTON_INTL_A_AB_CA	53:19:00:N	113:35:00:W	723.30m
EDMONTON_MUNICIPAL_A_AB_CA	53:34:24:N	113:31:06:W	670.60m
EDSON_AB_CA	53:35:00:N	116:28:00:W	927.20m
ESTEVAN_POINT_BC_CA	49:23:00:N	126:33:03:W	7.00m
ESTEVAN_SK_CA	49:13:00:N	102:58:00:W	580.30m
EUREKA_NU_CA	79:59:00:N	85:56:00:W	10.40m
FARO_YT_CA	62:12:25:N	133:22:24:W	716.30m
FORT_CHIPEWYAN_AB_CA	58:46:00:N	111:07:00:W	232.00m
FORT_MCMURRAY_AB_CA	56:39:00:N	111:13:00:W	369.10m
FORT_NELSON_BC_CA	58:50:11:N	122:35:50:W	381.90m
FORT_RELIANCE_NT_CA	62:43:00:N	109:10:00:W	165.80m
FORT_SIMPSON_NT_CA	61:45:37:N	121:14:12:W	169.20m
FORT_SMITH_NT_CA	60:01:13:N	111:57:43:W	205.10m
FORT_ST_JOHN_BC_CA	56:14:17:N	120:44:25:W	694.90m
FREDERICTON_NB_CA	45:52:19:N	66:31:40:W	20.70m
GANDER_INTL_NL_CA	48:56:47:N	54:34:37:W	151.20m
GASPE_QC_CA	48:46:37:N	64:28:41:W	34.10m
GERALDTON_ON_CA	49:46:58:N	86:55:50:W	348.40m
GIMLI_MB_CA	50:38:00:N	97:01:00:W	222.80m
GOOSE_NL_CA	53:19:00:N	60:25:00:W	48.80m
GORE_BAY_ON_CA	45:53:00:N	82:34:00:W	193.50m
GRANDE_PRAIRIE_AB_CA	55:10:47:N	118:53:06:W	669.00m
GRAND_RAPIDS_MB_CA	53:09:29:N	99:17:00:W	222.50m
GREENWOOD_NS_CA	44:59:00:N	64:55:00:W	28.00m
HALIFAX_INTL_AIRPORT_NS_CA	44:52:48:N	63:30:00:W	145.40m
HALL_BEACH_NU_CA	68:46:33:N	81:14:33:W	9.10m
HAMILTON_ON_CA	43:10:18:N	79:56:03:W	237.70m
HAY_RIVER_NT_CA	60:50:23:N	115:46:58:W	164.90m
HIGH_LEVEL_AB_CA	58:37:17:N	117:09:53:W	338.00m
HOPE_BC_CA	49:22:06:N	121:29:53:W	39.00m
INUKJUAK_QC_CA	58:28:00:N	78:05:00:W	24.40m
INUVIK_NT_CA	68:18:15:N	133:28:58:W	67.70m
IQALUIT_NU_CA	63:45:00:N	68:33:00:W	33.50m
ISLAND_LAKE_MB_CA	53:51:00:N	94:39:00:W	235.60m
JASPER_AB_CA	52:53:00:N	118:04:00:W	1062.20m
KAMLOOPS_BC_CA	50:42:08:N	120:26:31:W	345.30m
KAPUSKASING_ON_CA	49:24:50:N	82:28:03:W	226.50m
KELOWNA_BC_CA	49:57:22:N	119:22:40:W	429.50m
KENORA_ON_CA	49:47:25:N	94:21:55:W	409.70m
KINDERSLEY_SK_CA	51:31:00:N	109:11:00:W	693.70m
KINGSTON_ON_CA	44:13:07:N	76:35:48:W	92.40m
KOMAKUK_BEACH_YT_CA	69:35:00:N	140:11:00:W	7.30m
KUUJJUAQ_QC_CA	58:06:00:N	68:25:00:W	34m
KUUJJUARAPIK_QC_CA	55:17:00:N	77:45:00:W	12.20m
LADY_FRANKLIN_POINT_NU_CA	68:30:00:N	113:13:00:W	15.90m
LANSDOWNE_HOUSE_ON_CA	52:14:00:N	87:53:00:W	254.50m
LA_GRANDE_RIVIERE_QC_CA	53:38:00:N	77:42:00:W	195.10m
LA_RONGE_SK_CA	55:09:00:N	105:16:00:W	379.20m
LETHBRIDGE_AB_CA	49:37:49:N	112:47:59:W	928.70m
LLOYDMINSTER_AB_CA	53:18:33:N	110:04:21:W	668.40m
LONDON_ON_CA	43:01:59:N	81:09:04:W	278.00m
LUPIN_NU_CA	65:45:33:N	111:15:00:W	490.10m
LYNN_LAKE_MB_CA	56:51:50:N	101:04:34:W	356.60m
LYTTON_BC_CA	50:14:00:N	121:35:00:W	229.00m
MANIWAKI_QC_CA	46:18:06:N	76:00:21:W	188.60m
MATAGAMI_QC_CA	49:46:00:N	77:49:00:W	281.30m
MAYO_YT_CA	63:37:00:N	135:52:00:W	503.80m
MEADOW_LAKE_SK_CA	54:08:00:N	108:31:00:W	480.70m
MEDICINE_HAT_AB_CA	50:01:08:N	110:43:15:W	716.90m
MIRABEL_QC_CA	45:40:00:N	74:02:00:W	82.60m
MIRAMICHI_NB_CA	47:00:34:N	65:28:04:W	32.90m
MONCTON_NB_CA	46:06:19:N	64:41:01:W	70.70m
MONT-JOLI_QC_CA	48:36:00:N	68:13:00:W	52.40m
MONTREAL_DORVAL_QC_CA	45:28:00:N	73:45:00:W	31m
MOOSE_JAW_SK_CA	50:20:00:N	105:34:00:W	576.70m
MOOSONEE_ON_CA	51:16:00:N	80:39:00:W	10.00m
MOULD_BAY_NT_CA	76:14:00:N	119:20:00:W	12.20m
MUSKOKA_ON_CA	44:58:00:N	79:18:00:W	281.90m
NANAIMO_BC_CA	49:03:16:N	123:52:12:W	28.00m
NATASHQUAN_QC_CA	50:11:00:N	61:49:00:W	10.70m
NIPAWIN_SK_CA	53:20:00:N	104:00:00:W	371.90m
NORMAN_WELLS_NT_CA	65:16:57:N	126:48:01:W	72.50m
NORTH_BATTLEFORD_SK_CA	52:46:19:N	108:15:20:W	548.30m
NORTH_BAY_ON_CA	46:21:49:N	79:25:22:W	370.30m
NORWAY_HOUSE_MB_CA	53:57:00:N	97:51:00:W	223.70m
OTTAWA_INTL_ON_CA	45:19:21:N	75:40:09:W	114.00m
PEACE_RIVER_AB_CA	56:13:37:N	117:26:50:W	570.90m
PENTICTON_BC_CA	49:27:47:N	119:36:08:W	344.40m
PETAWAWA_ON_CA	45:57:00:N	77:19:00:W	130.10m
PETERBOROUGH_ON_CA	44:14:00:N	78:22:00:W	191.40m
PICKLE_LAKE_ON_CA	51:26:57:N	90:13:04:W	390.80m
PILOT_MOUND_MB_CA	49:11:27:N	98:54:17:W	470.30m
POND_INLET_NU_CA	72:41:22:N	77:58:08:W	61.60m
PORTAGE_LA_PRAIRIE_MB_CA	49:57:00:N	98:16:00:W	259.10m
PORT_ALBERNI_BC_CA	49:15:00:N	124:50:00:W	2.40m
PORT_AUX_BASQUES_NL_CA	47:34:26:N	59:09:17:W	39.70m
PORT_HARDY_BC_CA	50:40:49:N	127:21:58:W	21.60m
PRINCE_ALBERT_SK_CA	53:13:00:N	105:40:00:W	428.20m
PRINCE_RUPERT_BC_CA	53:53:00:N	122:40:00:W	691m
QUEBEC_QC_CA	46:48:00:N	71:23:00:W	74.40m
QUESNEL_BC_CA	53:01:34:N	122:30:36:W	545.00m
RANKIN_INLET_NU_CA	62:49:00:N	92:07:00:W	32.30m
RED_DEER_AB_CA	52:18:39:N	113:47:32:W	846.70m
RED_LAKE_ON_CA	51:04:01:N	93:47:35:W	385.90m
REGINA_SK_CA	50:26:00:N	104:40:00:W	577.60m
RESOLUTE_NU_CA	74:43:01:N	94:58:10:W	67.70m
REVELSTOKE_BC_CA	50:57:12:N	118:09:59:W	450.00m
ROBERVAL_QC_CA	48:31:00:N	72:16:00:W	178.60m
ROCKY_MTN_HOUSE_AB_CA	52:26:00:N	114:55:00:W	988.20m
SABLE_ISLAND_NS_CA	43:55:56:N	60:00:34:W	5.00m
SACHS_HARBOUR_NT_CA	72:00:00:N	125:16:00:W	86.30m
SAINT-HUBERT_QC_CA	45:31:00:N	73:25:00:W	27.40m
SAINTE-AGATHE-DES-MONTS_QC_CA	46:03:00:N	74:17:00:W	394.70m
SAINT_LEONARD_NB_CA	47:09:28:N	67:49:55:W	242.20m
SANDSPIT_BC_CA	53:15:14:N	131:48:47:W	6.40m
SARNIA_ON_CA	42:59:32:N	82:18:17:W	180.60m
SASKATOON_SK_CA	52:10:00:N	106:43:00:W	504.10m
SAULT_STE_MARIE_ON_CA	46:29:00:N	84:30:34:W	192.00m
SCHEFFERVILLE_QC_CA	54:48:00:N	66:49:00:W	521.80m
SEPT-ILES_QC_CA	50:13:00:N	66:16:00:W	54.90m
SHEARWATER_NS_CA	44:38:00:N	63:30:00:W	44.00m
SHELBURNE_NS_CA	43:43:00:N	65:15:00:W	29.90m
SHERBROOKE_QC_CA	45:26:00:N	71:41:00:W	241.40m
SHINGLE_POINT_YT_CA	68:57:00:N	137:13:00:W	49.40m
SIOUX_LOOKOUT_ON_CA	50:07:00:N	91:54:00:W	383.10m
SLAVE_LAKE_AB_CA	55:18:00:N	114:47:00:W	580.60m
SMITHERS_BC_CA	54:49:29:N	127:10:58:W	521.80m
STATION_LAC_BENOIT_QC_CA	46:03:00:N	70:48:00:W	304.80m
STATION_ROBERVAL_QC_CA	48:31:00:N	72:16:00:W	178.60m
STEPHENVILLE_NL_CA	48:32:00:N	58:33:00:W	24.70m
ST_ANTHONY_NL_CA	51:22:00:N	55:36:00:W	11.50m
ST_CATHARINES_ON_CA	43:12:00:N	79:10:00:W	97.80m
ST_JOHNS_NL_CA	47:37:20:N	52:44:34:W	140.50m
ST_LAWRENCE_NL_CA	46:55:00:N	55:23:00:W	48.50m
ST_STEPHEN_NB_CA	48:32:00:N	58:33:00:W	24.70m
SUDBURY_ON_CA	46:37:32:N	80:47:52:W	348.40m
SUMMERSIDE_PE_CA	46:26:20:N	63:49:54:W	19.50m
SUTTON_JUNCTION_QC_CA	45:04:00:N	72:41:00:W	243.80m
SWIFT_CURRENT_SK_CA	50:18:00:N	107:41:00:W	816.90m
SYDNEY_NS_CA	46:10:00:N	60:02:53:W	61.90m
TERRACE_BC_CA	54:27:59:N	128:34:39:W	217.30m
