________,City,Province,Country,TMY-type,WMO,Latitude,Longitude,Time Zone,Elevation,Filename
LOCATION,ABU DHABI,-,ARE,IWEC Data,412170,24.43,54.65,4.0,27.0,ARE_Abu.Dhabi.412170_IWEC
LOCATION,BUENOS AIRES,-,ARG,IWEC Data,875760,-34.82,-58.53,-3.0,20.0,ARG_Buenos.Aires.875760_IWEC
LOCATION,CANBERRA,-,AUS,IWEC Data,949260,-35.30,149.18,10.0,577.0,AUS_ACT.Canberra.949260_IWEC
LOCATION,Canberra Airport,ACT,AUS,RMY,949260,-35.30,149.20,10.0,580.0,AUS_ACT.Canberra.Airport.949260_RMY
LOCATION,Armidale Airport,NSW,AUS,RMY,957730,-30.53,151.62,10.0,1081.0,AUS_NSW.Armidale.Airport.957730_RMY
LOCATION,Cabramurra,NSW,AUS,RMY,959160,-35.93,148.38,10.0,1483.0,AUS_NSW.Cabramurra.959160_RMY
LOCATION,Cobar,NSW,AUS,RMY,947110,-31.48,145.83,10.0,264.0,AUS_NSW.Cobar.947110_RMY
LOCATION,Coffs Harbour,NSW,AUS,RMY,947910,-30.32,153.12,10.0,6.0,AUS_NSW.Coffs.Harbour.947910_RMY
LOCATION,Dubbo Airport,NSW,AUS,RMY,957190,-32.22,148.57,10.0,285.0,AUS_NSW.Dubbo.Airport.957190_RMY
LOCATION,Mascot-Sydney Airport,NSW,AUS,RMY,947670,-33.93,151.17,10.0,5.0,AUS_NSW.Mascot-Sydney.Airport.947670_RMY
LOCATION,Moree Aero,NSW,AUS,RMY,955270,-29.48,149.83,10.0,218.0,AUS_NSW.Moree.Aero.955270_RMY
LOCATION,Nowra RAN Air Station,NSW,AUS,RMY,947500,-34.95,150.53,10.0,105.0,AUS_NSW.Nowra.RAN.Air.Station.947500_RMY
LOCATION,Orange Airport,NSW,AUS,RMY,957260,-33.38,149.13,10.0,948.0,AUS_NSW.Orange.Airport.957260_RMY
LOCATION,Richmond RAAF,NSW,AUS,RMY,957530,-33.60,150.78,10.0,20.0,AUS_NSW.Richmond.RAAF.957530_RMY
LOCATION,SYDNEY,-,AUS,IWEC Data,947670,-33.95,151.18,10.0,3.0,AUS_NSW.Sydney.947670_IWEC
LOCATION,Sydney,NSW,AUS,RMY,947680,-33.85,151.20,10.0,40.0,AUS_NSW.Sydney.947680_RMY
LOCATION,Thredbo Village,NSW,AUS,RMY,959080,-36.50,148.30,10.0,1368.0,AUS_NSW.Thredbo.Village.959080_RMY
LOCATION,Wagga Wagga,NSW,AUS,RMY,949100,-35.17,147.45,10.0,213.0,AUS_NSW.Wagga.Wagga.949100_RMY
LOCATION,Williamtown RAAF,NSW,AUS,RMY,947760,-32.80,151.83,10.0,8.0,AUS_NSW.Williamtown.RAAF.947760_RMY
LOCATION,Alice Springs Airport,NT,AUS,RMY,943260,-23.80,133.88,9.5,547.0,AUS_NT.Alice.Springs.Airport.943260_RMY
LOCATION,DARWIN,-,AUS,IWEC Data,941200,-12.40,130.87,9.5,30.0,AUS_NT.Darwin.941200_IWEC
LOCATION,Darwin Airport,NT,AUS,RMY,941200,-12.42,130.88,9.5,35.0,AUS_NT.Darwin.Airport.941200_RMY
LOCATION,Tennant Creek,NT,AUS,RMY,942380,-19.63,134.18,9.5,377.0,AUS_NT.Tennant.Creek.942380_RMY
LOCATION,Amberly,QLD,AUS,RMY,945680,-27.63,152.72,10.0,31.0,AUS_QLD.Amberley.945680_RMY
LOCATION,BRISBANE,-,AUS,IWEC Data,945780,-27.38,153.10,10.0,5.0,AUS_QLD.Brisbane.945780_IWEC
LOCATION,Brisbane,QLD,AUS,RMY,94578,-27.38,153.13,10.0,10.0,AUS_QLD.Brisbane.94578_RMY
LOCATION,Cairns Aero,QLD,AUS,RMY,948270,-16.88,145.75,10.0,8.0,AUS_QLD.Cairns.Aero.948270_RMY
LOCATION,Charleville Aero,QLD,AUS,RMY,945100,-26.42,146.27,10.0,303.0,AUS_QLD.Charleville.Aero.945100_RMY
LOCATION,Gladstone Airport,QLD,AUS,RMY,943810,-23.87,151.22,10.0,17.0,AUS_QLD.Gladstone.Airport.943810_RMY
LOCATION,Longreach Aero,QLD,AUS,RMY,943460,-23.43,144.28,10.0,192.0,AUS_QLD.Longreach.Aero.943460_RMY
LOCATION,Mackay,QLD,AUS,RMY,943670,-21.12,149.22,10.0,36.0,AUS_QLD.Mackay.943670_RMY
LOCATION,Mount Isa Aero,QLD,AUS,RMY,943320,-20.68,139.48,10.0,341.0,AUS_QLD.Mount.Isa.Aero.943320_RMY
LOCATION,Oakey Aero,QLD,AUS,RMY,945520,-27.42,151.73,10.0,407.0,AUS_QLD.Oakey.Aero.945520_RMY
LOCATION,Rockhampton Aero,QLD,AUS,RMY,943740,-23.38,150.48,10.0,14.0,AUS_QLD.Rockhampton.Aero.943740_RMY
